"pro src","item-gallery src","item-gallery src 2","map-content src","logo-branding src","item-link","item-price","item-detail","item-detail 2","item-detail 3","ellipsis","item-parking","listing-tags"
"","","","","https://st3.idealista.pt/77/eb/fe/ana-macao-kw.gif","Detached house, R. Adolfo Casais Monteiro, Quinta Alfragide de Cima, 21, Serra de Carnaxide - Parque de Santa Cruz, Carnaxide e Queijas","1,297,000","T5","337 m²","","In Oeiras, in the upper part of Carnaxide, this quiet neighborhood is located, in one of the areas with the greatest growth and potential for appreciation.
Don't miss the opportunity to live in this T5+2 villa with very generous areas, spread over 4 floors and 16 rooms, garage and a large terrace with swimming pool. H","Parking included","With views"
"","","","","","Ana Mação - KW","","","","","","",""
"","","","","https://st3.idealista.pt/77/eb/fe/ana-macao-kw.gif","Semi-detached house in estrada Rebelva, Nn, Rebelva, Carcavelos e Parede","1,075,000","T5","241 m²","","São Domingos de Rana is one of the parishes in the municipality of Cascais that has grown and appreciated the most in recent years.
Located in Rebelva, a quiet neighborhood with all the essential amenities for your well-being, this T4 house has an independent T1 apartment on the basement floor.
Located on Estrada da","","Renovated"
"","","","","https://st3.idealista.pt/4b/f5/86/remax-yes.gif","T2 flat in rua Gonçalo Mendes da Maia, Centro - Santo Amaro, Oeiras e São Julião da Barra - Paço de Arcos - Caxias","750,000","T2","90 m²","3rd floor with lift","Welcome to your new home!
If you are looking for a 2-bedroom apartment with sea view, then you have found your home.
Fantastic 2 bedroom apartment with frontal sea view located in the Parque Oceano Condominium.
Apartment completely remodeled 5 years ago in excellent condition.
About the apartment:
2 bedrooms,
liv","","Sea views"
"","","","","https://st3.idealista.pt/77/eb/fe/ana-macao-kw.gif","Detached house in rua Carreira de Tiro, 57, Oeiras Golf, Barcarena","3,395,000","T5","490 m²","","Living close to Lisbon, Cascais and Sintra and being able to enjoy the quality of life in a golf resort, where the green areas and tranquility of the countryside provide an enviable quality of life, is what we propose.
At Oeiras Golf & Residence you will find this luxury T5 villa, just built (2021), with spectacular v","Parking included","With views"
"","","","","https://st3.idealista.pt/77/eb/fe/ana-macao-kw.gif","Semi-detached house in rua Sacrovir Moreira, 17, Oeiras Golf, Barcarena","1,298,000","T4","447 m²","","4 bedroom villa inserted in the Oeiras Golf & Residence development. It is possible to live in the countryside and in the city at the same time...
With a privileged location, where green and tranquility predominate, surrounded by the 9-hole golf course and 5 minutes walk from the Fábrica da Pólvora, you will find this","Parking included","Bright"
"","","","","https://st3.idealista.pt/4b/f5/86/remax-yes.gif","Semi-detached house in rua Infante Santo, Alto da Barra, Oeiras e São Julião da Barra - Paço de Arcos - Caxias","1,699,000","T4","168 m²","","T4 HOUSE WITH POOL IN THE BEST AREA OF OEIRAS!
Come and discover this fantastic villa 5 minutes from the beach, with a heated pool, in the best area of Oeiras, in Alto da Barra, inserted in a 400m2 plot and 5 minutes WALKING from the beach of Santo Amaro.
This villa has been completely renovated, the condition is lik","Parking included",""
"","","","","https://st3.idealista.pt/4e/0c/01/zome-odivelas.gif","Detached house, Azinhaga Canhamato, 22, Ramada e Caneças, Odivelas","287,000","T3","62 m²","","Identificação do imóvel: ZMPT563188
Located in a quiet and peaceful area, we have this completely renovated 3 bedroom house, ready to move into!
Comprising a fully equipped kitchen in an open space with a living room, 2 bedrooms, 1 suite and a guest bathroom.
Located in a residential area where peace and tranquility","","Renovated"
"","","","","https://st3.idealista.pt/00/fc/f9/insideliving.gif","Detached house, Calçada de São Pedro, São Pedro de Penaferrim, Sintra","795,000","T3","169 m²","","Located in the fairy tale land of palaces and rolling green hills that is Sintra, 'Chalet da Calçada' is a 3 Bedroom Haven nestled in the heart of São Pedro de Sintra, in a 15min walking-distance to the center of the village of Sintra, in a romantic and unique charming location.
This brand-new 3 Bedroom Villa is a com","","With views"
"","","","","https://st3.idealista.pt/4b/f5/86/remax-yes.gif","Detached house in largo Conde das Alcáçovas, Paço de Arcos, Oeiras e São Julião da Barra - Paço de Arcos - Caxias","995,000","T3","227 m²","","15th century building, located in the historical center of Paco de Arcos, 100 meters from the sea, with a rehabilitation project for conversion into a single-family house.
Originally used as a cavalry of the Palace of Arcos (which today houses a 5-star hotel), it consists of a ground floor, first floor and attic, with","",""
"","","","","https://st3.idealista.pt/4b/f5/86/remax-yes.gif","T2 flat in rua Rodrigo da Fonseca, Rato - Amoreiras, Santo António","915,000","T2","113 m²","2nd floor with lift","EXCLUSIVE AND SPACIOUS T2 close to AV.DA LIBERDADE and MARQUES DE POMBAL
In an exceptional location that embraces central Lisbon, we find this modern and comfortable 103m2 furnished apartment with garage and balcony.Turnkey project, it is delivered as in the photos.
Upon entering, the sober lines and unique luminosit","Parking included",""
"","","","","","","","","","","","",""
"","","","","https://st3.idealista.pt/4b/f5/86/remax-yes.gif","T3 flat in rua Doutor Álvaro de Castro, Entrecampos, Avenidas Novas","465,000","T3","116 m²","1st floor with lift","Apartment located in the Santos Neighborhood, in the Novas Avenues.
Three bedrooms, one of which is a suite.
Kitchen equipped with hob, oven, extractor fan, washing machine and crockery, water heater.
One parking space - vehicle with lift access.
Southwest-northwest solar orientation
This is a very well served are","Parking included",""
"","","","","https://st3.idealista.pt/4b/f5/86/remax-yes.gif","Detached house in rua das Esmeraldas, Murganhal - Laveiras, Oeiras e São Julião da Barra - Paço de Arcos - Caxias","890,000","T3","145 m²","","3 bedroom house | Contemporary architecture | Caxias | Heated pool | Garden
Detached T3 house distributed over two floors, with terrace, swimming pool, garden, barbecue, storage and parking space for 2 vehicles.
Located in Caxias, Oeiras, with contemporary architecture with unique design and careful choice of materia","",""
"","","","","https://st3.idealista.pt/4b/f5/86/remax-yes.gif","T2 flat in rua António Gedeão, Amoreira, Alcabideche","570,000","T2","107 m²","1st floor with lift","2 bedroom apartment in Amoreira, Cascais, on the 1st floor of a building with elevator, 2 magnificent terraces of 100m2, 2 parking spaces and storage.
Property that reflects the discreet elegance of this location, offering a cozy home where life unfolds smoothly, with two bedrooms, 17m2, with wardrobes and access to t","Parking included",""
"","","","","https://st3.idealista.pt/4b/f5/86/remax-yes.gif","T2 flat in rua doa Bacalhoeiros, Alfama - Sé, Santa Maria Maior","780,000","T2","130 m²","3rd floor without lift","Exclusive Apartment for Sale in Lisbon with Stunning Views of the Tagus River!
Discover your urban refuge in this incredible 2-bedroom, 2-bathroom apartment, located on the stunning Rua dos Bacalhoeiros, in the prestigious parish of Santa Maria Maior, in Lisbon. A unique opportunity to live with luxury, comfort and a","",""
"","","","","https://st3.idealista.pt/4b/f5/86/remax-yes.gif","Semi-detached house in rua do Miradouro, Caselas, Belém","950,000","T5","158 m²","","T5 house for sale
House located in the parish of Belém, 5 km from Torre de Belém and 1.5 km from Hospital São Francisco de Xavier.
Fantastic house consisting of 6 rooms with patio.
Inserted in a plot of 192 mts2.
Features:
Basement with bathroom, cellar, storage area and living room.
Ground floor comprising kitch","Parking included",""
"","","","","https://st3.idealista.pt/4b/f5/86/remax-yes.gif","Detached house, casal da Serra, Sobreiro - Achada, Mafra","895,000","T4","494 m²","","House T4 with excellent view and privacy!
With an implantation area of 439m² on a plot of 4437m².
Comprising living room, dining room, kitchen, pantry, laundry, mezzanine, 2 bedrooms, suite with dressing room, 2 WC and 2 bathrooms.
Annex with 36m² consisting of spa with shower and sauna.
Space for storage of garden","Parking included",""
"","","","","https://st3.idealista.pt/4b/f5/86/remax-yes.gif","T3 flat in avenida Venceslau Balseiro Guerra, Carcavelos Centro, Carcavelos e Parede","1,114,500","T3","242 m²","5th floor with lift","4-room apartment with 100m2 private terrace at the top of the building.
Privileged solar position, with south/west orientation.
The Italian design kitchen, open to the living room, features stone countertops and is fully equipped with Bosch appliances.
All rooms have wardrobes and balconies.
GEALAN double-glazed PV","Parking included",""
"","","","","https://st3.idealista.pt/4b/f5/86/remax-yes.gif","Semi-detached house in Paço de Arcos, Oeiras e São Julião da Barra - Paço de Arcos - Caxias","1,190,000","T4","213 m²","","Magnificent 4-bedroom villa for sale, in a privileged location in Paço de Arcos.
With a modern architecture designed for comfort and harmonious use of all spaces, with a construction area of 213m2 completed in 2023.
This villa benefits from a unique location with enormous tranquility and peace.
At the same time, it","Parking included",""
"","","","","https://st3.idealista.pt/4b/f5/86/remax-yes.gif","Duplex in Paço de Arcos, Oeiras e São Julião da Barra - Paço de Arcos - Caxias","1,080,000","T3","148 m²","Ground floor without lift","Excellent T3 Duplex in the village of Paço de Arcos.
UNIQUE opportunity to live with a ""lifestyle"" that only Vila de Paço de Arcos provides, in a modern apartment with recent construction (2021).
The apartment has 148.80 m2 of private gross area + 52.80 m2 of dependent gross area and is divided as follows:
Floor 0 -","Parking included","Sea views"
"","","","","https://st3.idealista.pt/4b/f5/86/remax-yes.gif","Detached house in Bairro Santana - Cobre, Cascais, Cascais e Estoril","2,450,000","T5","430 m²","","T5+3 | POOL | GARDEN | CASCAIS | PREMIUM FINISH
Excellent contemporary design villa, located in a quiet and mainly residential area, close to the center of Cascais and the most beautiful beaches in this municipality.
The finishes, designed to meet the highest residential standards, include a hydraulic underfloor heat","Parking included","Luxury"
"","","","","https://st3.idealista.pt/4b/a8/3a/afinest.gif","Semi-detached house in Quinta da Bicuda, Cascais, Cascais e Estoril","930,000","T3","188 m²","","ARE YOU LOOKING FOR A 3 BEDROOM VILLA IN QUINTA DA BICUDA?
VERY NEGOTIABLE VALUE!
This villa is located in a gated community with swimming pool and garden, in excellent condition with high quality finishes and plenty of natural light
This 3-storey villa is distributed as follows:
Floor 0: Entrance hall; Living room","Parking included",""
"","","","","https://st3.idealista.pt/20/d4/9c/john-taylor.gif","T4 flat in largo do Carmo, 1, Chiado, Santa Maria Maior","2,990,000","T4","317 m²","2nd floor with lift","4 Bedroom Apartment | 317m2 | Private Gross Area | Front View | Charming renovation | High quality finishes | Largo do Carmo (Chiado)
Prestigious apartment located in the center of Chiado, in one of the most elegant areas of Lisbon.
This apartment is part of a building that occupies the entire southern top of the Larg","","Luxury"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"https://st3v.idealista.pt/fc/95/10/236571274.mp4#t=3","https://img3.idealista.pt/blur/WEB_LISTING-M/0/id.pro.pt.image.master/4e/1a/4b/236564699.jpg","https://img3.idealista.pt/blur/WEB_LISTING-M/0/id.pro.pt.image.master/62/74/11/236564703.jpg","https://st3.idealista.pt/static/common/release/modules/resources/img/static-map-placeholder.jpg","https://st3.idealista.pt/4b/a8/3a/afinest.gif","T4 flat in rua 1º de Maio, 148, Alto de Santo Amaro, Alcântara","1,900,000","T4","300 m²","1st floor with lift","4 +1 bedroom flat, inserted in the gated community 'Palácio da Junqueira Residências', in ALCÂNTARA, resulting from the rehabilitation project of the original building, built in the second decade of the eighteenth century, designed and implemented in 2008 by the architect António Nunes da Silva.
The flat with 250m2 of","Parking included","Bright"
"","https://img3.idealista.pt/blur/WEB_LISTING-M/0/id.pro.pt.image.master/44/e1/1b/227096574.jpg","https://img3.idealista.pt/blur/WEB_LISTING-M/0/id.pro.pt.image.master/dd/98/9c/227096569.jpg","https://st3.idealista.pt/static/common/release/modules/resources/img/static-map-placeholder.jpg","https://st3.idealista.pt/7e/b7/c7/carpe-domus.gif","House in rua Doutor Jacinto Nunes, 13, Parede, Carcavelos e Parede","1,925,000","T6","320 m²","","Single storey 6 bedroom villa on a plot of 915m2 in Parede, Cascais.
Former 6 bedroom architect's house, with some adaptations. It has an original support porch and more recently also an attached 1 bedroom house. Large interior garden and parking for cars.
Property with excellent areas and good potential for remodeli","","Bungalow"
"https://st3v.idealista.pt/6f/e0/af/231962506.mp4#t=3","https://img3.idealista.pt/blur/WEB_LISTING-M/0/id.pro.pt.image.master/22/73/db/231927330.jpg","https://img3.idealista.pt/blur/WEB_LISTING-M/0/id.pro.pt.image.master/aa/78/22/231927323.jpg","https://st3.idealista.pt/static/common/release/modules/resources/img/static-map-placeholder.jpg","https://st3.idealista.pt/5d/85/10/lane-exclusive-real-estate.gif","Detached house in rua António Rodrigues Barra, Várzea de Sintra, Sintra","1,290,000","T5","538 m²","","This captivating property is composed of a main house and an adjacent secondary residence:
The main house features a ground floor hosting a spacious multifunctional room with an open-style kitchen, a bathroom, a laundry room, storage space, and direct access to the garage. Ascending to the first floor, you'll find the","Parking included",""
"","","","","","","","","","","","",""
"","https://img3.idealista.pt/blur/WEB_LISTING-M/0/id.pro.pt.image.master/5c/f3/ed/224278479.jpg","https://img3.idealista.pt/blur/WEB_LISTING-M/0/id.pro.pt.image.master/6e/cd/b8/224278478.jpg","https://st3.idealista.pt/static/common/release/modules/resources/img/static-map-placeholder.jpg","https://st3.idealista.pt/b7/6e/8a/era-sintra-odivelas.gif","Semi-detached house, 2705-265, Almoçageme - Penedo, Colares","349,000","T2","102 m²","","Come and see this house of traditional architecture in Aldeia do Penedo, considered one of the most traditional villages in Sintra, possibly the most traditional of all.
Just over 50 minutes from Lisbon, Penedo is located in the Serra de Sintra, in the middle of a natural park, 10 minutes from Adraga beach.
The house i","",""
"https://st3v.idealista.pt/a2/50/6f/237327220.mp4#t=3","https://img3.idealista.pt/blur/WEB_LISTING-M/0/id.pro.pt.image.master/28/09/12/237276942.jpg","https://img3.idealista.pt/blur/WEB_LISTING-M/0/id.pro.pt.image.master/e5/24/5f/237276943.jpg","https://st3.idealista.pt/static/common/release/modules/resources/img/static-map-placeholder.jpg","https://st3.idealista.pt/7e/77/29/imojoy-real-estate.gif","Detached house in rua Palmeiras, Tires, São Domingos de Rana","695,000","T3","185 m²","","Nice 3 bedroom villa built on a plot of land of 245m2 with 150m2 of useful area, with plenty of natural light and unobstructed view. Situated on a quiet street with prestigious finishes and modern lines
The villa consists of 2 floors and is distributed as follows:
Ground floor:
Large living room (40m2), with open sp","",""
"","https://img3.idealista.pt/blur/WEB_LISTING-M/0/id.pro.pt.image.master/34/71/90/217227796.jpg","https://img3.idealista.pt/blur/WEB_LISTING-M/0/id.pro.pt.image.master/3d/75/9e/217227819.jpg","https://st3.idealista.pt/static/common/release/modules/resources/img/static-map-placeholder.jpg","https://st3.idealista.pt/a5/44/fc/bhhsatlanticportugal.gif","Duplex in rua Pêro de Alenquer, Bairro do Rosário, Cascais, Cascais e Estoril","4,500,000","T4","395 m²","4th floor with lift","This duplex apartment is an impressive residence that offers a perfect combination of generous space, elegant design, and contemporary comfort. With a total of four suites, this apartment is ideal for families who value privacy and convenience.
Each suite is carefully designed to ensure maximum comfort and privacy for","Parking included","Sea views"
"https://st3v.idealista.pt/36/87/82/230739060.mp4#t=3","https://img3.idealista.pt/blur/WEB_LISTING-M/0/id.pro.pt.image.master/21/57/e2/230736960.jpg","https://img3.idealista.pt/blur/WEB_LISTING-M/0/id.pro.pt.image.master/e9/7c/ae/230736958.jpg","https://st3.idealista.pt/static/common/release/modules/resources/img/static-map-placeholder.jpg","https://st3.idealista.pt/7e/ba/d5/hb-luxury-real-estate.gif","Detached house in Centro da Vila, Ericeira","1,450,000","T4","340 m²","","Come and discover with HB Luxury Real Estate this fabulous new 4 bedroom villa with contemporary architecture with swimming pool, outdoor Jacuzzi, sauna and Turkish bath and an exotic and beautiful garden located on a 463m2 plot with a fantastic view over the sea.Imagine waking up to panoramic views of the Sea.
Spread","Parking included","Sea views"
"https://st3v.idealista.pt/0d/00/84/198757882.mp4#t=3","https://img3.idealista.pt/blur/WEB_LISTING-M/0/id.pro.pt.image.master/f8/5f/11/198756751.jpg","https://img3.idealista.pt/blur/WEB_LISTING-M/0/id.pro.pt.image.master/03/95/96/198756768.jpg","https://st3.idealista.pt/static/common/release/modules/resources/img/static-map-placeholder.jpg","https://st3.idealista.pt/de/9a/44/milcasas.gif","Detached house in estrada da Chança, Azueira e Sobral da Abelheira, Mafra","475,000","T5","292 m²","","Come and discover this NEW detached house, with open views of the countryside, located on a 1000 m² plot, with an East/West solar layout.
Equipped with solar panel, electric shutters, tilt-and-turn PVC windows.
Located in a quiet village at:
- 12 km from the village of Mafra
- 15 km from Ericeira
- 12 km from Torres","",""
"https://st3v.idealista.pt/34/7b/1a/239219240.mp4#t=3","https://img3.idealista.pt/blur/WEB_LISTING-M/0/id.pro.pt.image.master/f9/35/69/239221741.jpg","https://img3.idealista.pt/blur/WEB_LISTING-M/0/id.pro.pt.image.master/75/e9/9f/239221742.jpg","https://st3.idealista.pt/static/common/release/modules/resources/img/static-map-placeholder.jpg","https://st3.idealista.pt/e4/16/59/imobiliaria-carvidur.gif","T3 flat in Algés, Algés - Linda-a-Velha - Cruz Quebrada - Dafundo","259,900","T3","101 m²","Floor -1 with lift","3-bedroom apartment of 101 m² in the center of Algés, excellent location and in excellent condition.
The property consists of 3 spacious bedrooms with floating flooring, 1 large entrance hall, 1 living room, spacious kitchen with beech lacquered cabinets equipped with hob oven and extractor fan, water heater and washi","",""
"","","","","https://st3.idealista.pt/23/71/a5/dmgmaia.gif","T4 flat in rua João de Oliveira Miguens, 3, Largo do Calvário - Lx Factory, Alcântara","1,750,000","T4","269 m²","6th floor with lift","4 bedroom apartment | Alcantara Rio Condominium | Luxury
Enjoy a life of luxury and comfort in this spectacular 4-bedroom apartment, located on the top floor of the ""Alcantara Rio"" condominium. With a breathtaking view over the Tagus River, this apartment offers a perfect combination of elegance, sophistication and co","Parking included",""
"","","","","https://st3.idealista.pt/b7/6e/8a/era-sintra-odivelas.gif","T2 flat in rua José Bento Costa, Centro de Sintra - Portela de Sintra , Sintra","225,000","T2","81 m²","2nd floor without lift","Visit this two-bedroom apartment now, next to the Sintrense pitch in Portela de Sintra.
The apartment consists of two bedrooms (one with a balcony), a living room with a balcony, a kitchen and two bathrooms, with good areas.
The property is in good condition.
Very well situated in Portela de Sintra, just a few minutes'","",""
"","","","","https://st3.idealista.pt/0a/cb/c1/west-life-imobiliaria.gif","House in Turcifal, Torres Vedras","385,000","T5","229 m²","","Looking for a villa with plenty of space for the whole family where you can enjoy green spaces? This property is for you! - WL Exclusive
This fantastic 5 bedroom villa is located in Vila do Turcifal, in Quinta do Fez, a condominium that offers swimming pools, tennis court, soccer field, large green spaces, a restaura","",""
"","","","","https://st3.idealista.pt/e3/53/86/ins-portugal.gif","House in Bairro do Rosário, Cascais, Cascais e Estoril","3,250,000","T8","744 m²","","Villa located in a prime area in Bairro do Rosário, comprising: entrance hall, large living and dining room, with access to the garden, kitchen, three bedrooms, two bathrooms with window and a guest toilet; 1st floor consisting of two suites; On the first floor there is an office and on the top floor there is another b","Parking included","Luxury"
"","","","","https://st3.idealista.pt/af/c2/dd/cluttons-lisboa.gif","Detached house in Centro do Estoril, Estoril, Cascais e Estoril","3,500,000","T9","695 m²","","Sale | Villa 9 bedrooms + 5 living rooms | ABC 695m2 | Land 1056m2 | Multiple Covered Terraces | Unobstructed view | Garden | Garage | Estoril Center - Casino
A privileged location on Av. General Carmona - Estoril, lots of sun and natural light, unobstructed views over Estoril with total privacy, great outdoor and ind","Parking included",""
"","","","","https://st3.idealista.pt/00/fc/f9/insideliving.gif","Detached house in Alcoitão, Alcabideche","6,950,000","T6","974 m²","","Luxurious 6 bedroom villa with lawn garden, lounge area and pool inserted in plot of land with 2.245m2, located in Quinta Patiño, one of the most exclusive and prestigious condominiums in Portugal, with 24/7 security and golf courses.
This luxury villa is located in a prime area of Estoril, known for its cozy, safe e","Parking included","Luxury"
"","","","","https://st3.idealista.pt/92/01/48/casa-metade.gif","T2 flat in Ramada e Caneças, Odivelas","185,000","T2","70 m²","1st floor without lift","Inserted in a building with 3 floors (8 apartments) you will find this 2 bedroom flat on the 1st floor and consists of:
Living room with small sunroom
Kitchen with pantry equipped with hob, oven and extractor fan
Room with small balcony
room
Bathroom with window and bathtub
Access corridor to the divisions","","Bright"
"","","","","https://st3.idealista.pt/4b/a8/3a/afinest.gif","House in Centro do Estoril, Estoril, Cascais e Estoril","2,800,000","T6","300 m²","","ARE YOU LOOKING FOR A VILLA WITH A GARDEN AND POOL IN ESTORIL?
FOUND! COME AND MAKE THIS HOUSE YOUR HOME
The areas of this house are distributed as follows:
Ground floor with entrance hall (9m2), suite (13.32m2) with direct access to a terrace and stairs to access the lower floor, which has a hall (4.35m2), bathroom","Parking included","Luxury"
"","","","","https://st3.idealista.pt/2c/e2/04/century-21-colombo-2.gif","Detached house in São João de Brito, Alvalade","1,750,000","T4","334 m²","","Semi-detached house to rehabilitate with 3 bedrooms and 2 living rooms, office and games room, kitchen and 3 WC in the main building. Bright balcony facing East / South with views over the adjacent gardens, Parque da Belavista area and Avenida dos Estados Unidos de América. Large closed balconies facing West. Leafy and","",""
"","","","","","","","","","","","",""
"","","","","https://st3.idealista.pt/4b/a8/3a/afinest.gif","T2 flat in rua Ferreira Borges, Centro, Campo de Ourique","444,000","T2","68 m²","2nd floor without lift","2 bedroom flat FULLY REFURBISHED in Campo de Ourique on Rua Ferreira Borges, building from 1989 refurbished in 2019.
Located between Jardim da Parada and the Amoreiras Shopping Center, you will find this fully refurbished flat.
Apartment with two fronts, consisting of the following divisions:
Living room with integra","","Bright"
"","","","","https://st3.idealista.pt/a5/44/fc/bhhsatlanticportugal.gif","T4 flat in rua Rainha Joana da Bulgária, Centro do Estoril, Estoril, Cascais e Estoril","2,100,000","T4","311 m²","Ground floor with lift","Welcome to Estoril, where luxury meets comfort in this stunning 4-bedroom apartment.
Nestled in a prime location, this spacious residence offers a seamless blend of elegance and convenience.
Upon entering, you'll be greeted by a tastefully designed living space that exudes modern sophistication. The open-concept flo","","Luxury"
"","","","","https://st3.idealista.pt/7f/5c/22/century-21-le-quartier.gif","T3 flat, campo De Ourique, Centro, Campo de Ourique","735,000","T3","133 m²","3rd floor without lift","Let me introduce you to this magnificent, unique property in Campo de Ourique, considered by many to be the best neighborhood in Lisbon.
Full of life, diverse commerce and services and a neighborhood spirit that can be felt and lived in its streets.
Charming old-fashioned apartment with an area of 133 m2, comprising:","","Bright"
"","","","","https://st3.idealista.pt/ed/c2/fc/porta-da-frente-christies-international-real-estate.gif","T1 flat in rua do Ganges, Expo Norte, Parque das Nações","425,000","T1","76 m²","1st floor with lift","1 bedroom apartment in Parque das Nações - North Zone
Located in the Ganges Building, in the northern area of Parque das Nações, arises this magnificent apartment, with large dimensioned areas and a balanced layout, being in an immaculate condition. The kitchen is fully equipped with AEG household appliances, having a","",""
